DissolvedOxygen_Saturation,pH,Temperature,Green Valley Lake,South Twin Lake,Swan Lake
-0.9968172522590963,1.3039743771360162,-0.7793144121073595,1,0,0
2.6651537691156526,0.48751228212967546,1.1925702926709032,1,0,0
2.8939476917644043,2.6956711299877347,1.6303657136793188,1,0,0
-0.9600377414120136,-1.2567476481111441,-1.9211545720936694,0,0,0
-2.449481104819406,-2.258769310164383,0.07287338114585701,1,0,0
1.6472490999477598,1.2297505503172594,1.424450281505057,0,0,1
0.8287147447509516,1.2297505503172594,0.6083095836594126,0,0,1
-1.0924439804615125,-1.4608631718627303,-1.816364242496701,1,0,0
-0.4481684111401949,-0.6815129902657696,-0.17962333687487278,1,0,0
-1.0574400322070472,1.452422030773533,0.4841520856111674,1,0,0
-0.336815271403164,-0.6072891634470096,-1.8879309130765893,0,0,0
-0.5171617004533439,1.1740826802031885,-0.6355957700069826,1,0,0
-0.1663612625118548,-0.662957033561077,-0.7652946584574919,0,0,1
0.924341472953368,0.37617654190153704,-0.4838932340920506,0,0,0
0.32978165622534894,0.26484080167340196,0.26550331453547404,1,0,0
0.5783604191918411,-0.44028555310480355,1.0021844198321757,0,0,0
-0.19705313018424847,0.7658516327000199,1.0756502631047005,0,0,1
-1.9807325803683056,-2.203101440050314,0.0435213823711412,1,0,0
-1.0518596926302484,-1.2567476481111441,-0.676630939210517,1,0,0
-0.8238267253783333,-1.1639678645876983,0.14727294431846047,0,0,1
-0.43294930320347097,-0.662957033561077,-2.0175501022644493,0,0,0
0.14410853939731547,0.3390646284921587,0.8275060908781073,0,1,0
1.2391233554446102,1.2297505503172594,1.4789787230971527,0,0,1
-0.2277449978566418,-0.662957033561077,-1.4034358294721556,1,0,0
-0.9732276349571742,-1.1082999944736274,-1.5935204202759152,0,0,0
0.023370283099304993,0.9885231131562934,0.7058835029350363,0,0,1
-0.15367867256458476,-0.23617002935321924,-0.06449608653031201,1,0,0
-0.9209753643744217,0.951411199746915,-1.083380509924392,1,0,0
-0.42533974923510903,-0.9598523408361106,-1.5566620498270982,1,0,0
-0.7178002734191556,-0.1619462025344592,-0.5179656566366098,0,1,0
