DissolvedOxygen_Saturation,pH,Temperature,Green Valley Lake,South Twin Lake,Swan Lake
80.33,8.53,26.76,0,0,0
71.2,8.18,23.28,0,1,0
57.13,7.98,26.52,0,0,1
88.37,8.63,27.67,0,0,1
65.14,8.6,22.16,0,1,0
101.72,8.8,27.2,1,0,0
53.94,8.37,24.51,1,0,0
152.1,8.93,26.15,0,0,1
172.22,9.98,23.44,1,0,0
75.88,9.44,23.59,1,0,0
76.78,8.22,19.51,0,0,1
112.4,8.81,24.07,1,0,0
87.37,8.41,17.12,1,0,0
142.99,9.4,26.91,0,0,1
74.74,9.52,22.44,1,0,0
86.05,9.6,21.52,1,0,0
86.97,8.69,23.17,0,1,0
192.08,8.81,24.58,0,1,0
89.96,9.09,21.3,1,0,0
81.12,8.1,26.17,0,0,0
131.39,9.86,22.47,1,0,0
102.12,9.0,24.56,0,1,0
39.59,7.98,23.28,1,0,0
67.56,9.26,22.05,1,0,0
130.72,9.5,28.22,0,0,1
140.02,8.54,24.83,0,0,0
84.5,8.38,24.1,0,1,0
64.34,7.85,16.57,1,0,0
125.69,8.97,20.82,0,0,0
178.23,8.54,24.53,0,0,0
88.07,8.68,18.51,1,0,0
104.0,8.1,25.04,0,0,0
209.03,9.64,27.48,1,0,0
88.06,9.76,26.06,1,0,0
66.68,8.78,25.88,1,0,0
108.95,9.02,26.22,0,1,0
98.23,9.66,21.87,1,0,0
115.13,8.65,25.59,0,0,0
175.38,9.62,29.14,0,0,1
84.18,8.9,22.16,0,0,1
92.42,8.37,24.28,1,0,0
127.84,8.77,26.13,0,1,0
149.82,9.17,24.69,1,0,0
106.89,8.62,24.28,0,0,0
100.79,8.45,19.77,1,0,0
91.53,8.58,15.6,1,0,0
100.76,8.4,18.05,0,0,0
103.77,8.99,25.72,0,1,0
219.47,9.04,26.0,0,0,1
110.61,9.53,26.07,1,0,0
112.52,8.48,24.14,0,0,0
80.92,8.24,21.93,1,0,0
68.59,9.2,20.71,1,0,0
190.86,10.09,27.61,1,0,0
152.84,8.52,23.42,0,0,0
34.75,8.06,23.92,1,0,0
108.34,8.35,25.99,0,0,0
87.31,8.88,25.47,1,0,0
117.17,8.37,27.88,0,0,0
137.21,9.2,23.74,1,0,0
70.72,8.55,26.06,1,0,0
76.11,9.19,27.46,0,0,1
186.08,9.37,25.43,0,0,1
158.53,9.24,27.26,0,1,0
69.71,9.32,22.62,1,0,0
77.9,8.31,17.34,1,0,0
131.33,9.58,25.82,1,0,0
81.0,9.26,26.33,0,0,1
86.16,9.43,24.62,1,0,0
75.38,7.96,18.71,1,0,0
79.5,8.56,21.56,0,0,1
117.59,8.42,22.8,0,0,0
64.55,8.06,17.02,0,0,0
69.02,8.05,27.08,0,0,1
92.88,8.02,25.86,0,0,0
116.59,8.53,24.36,0,0,0
82.73,9.1,27.22,0,1,0
156.51,9.59,28.31,0,0,1
74.49,9.38,24.69,1,0,0
103.29,8.71,19.16,0,0,0
130.8,9.47,27.31,0,0,1
45.83,7.81,24.67,1,0,0
112.13,8.8,24.79,1,0,0
139.87,9.89,26.7,1,0,0
108.09,9.07,23.05,1,0,0
143.49,9.06,23.55,0,0,0
81.78,8.51,22.84,1,0,0
129.68,10.01,26.19,1,0,0
52.7,7.62,22.17,1,0,0
145.85,8.58,26.37,0,0,0
117.91,8.4,24.88,1,0,0
55.76,7.92,23.63,0,0,1
68.38,8.21,24.3,1,0,0
116.19,8.38,23.74,0,0,1
66.05,8.93,23.67,0,0,1
247.64,10.21,28.44,1,0,0
93.28,8.63,16.0,1,0,0
314.77,10.26,29.51,1,0,0
122.14,8.47,23.93,0,0,0
116.2,8.76,19.89,0,0,0
148.7,9.34,27.3,0,0,1
131.52,8.32,23.57,0,0,0
76.04,8.62,23.32,0,1,0
115.21,8.61,23.73,0,0,0
67.71,8.21,18.96,0,0,0
72.3,8.1,16.56,1,0,0
92.93,8.44,14.84,0,0,0
158.05,8.47,21.09,0,0,0
68.26,8.24,24.17,0,1,0
130.1,9.47,27.41,0,0,1
107.59,8.58,16.47,0,0,0
92.12,9.0,21.57,0,0,0
116.7,9.58,26.21,1,0,0
146.23,9.42,25.13,0,0,1
84.6,8.9,24.62,0,1,0
63.39,8.15,23.19,0,1,0
28.61,7.78,23.2,1,0,0
116.24,9.04,25.44,0,1,0
115.65,8.56,25.37,0,0,0
168.95,8.5,21.36,0,0,0
54.84,8.09,22.92,0,0,0
139.97,8.56,27.26,0,0,0
144.12,8.66,26.7,0,0,0
72.19,8.82,17.09,1,0,0
157.65,8.45,21.31,0,0,0
121.81,8.95,26.62,0,1,0
108.31,8.53,23.5,0,0,0
87.24,9.47,24.22,1,0,0
146.48,9.06,29.33,0,1,0
87.35,8.39,14.82,0,0,0
207.28,9.69,28.14,0,0,1
151.84,8.9,26.12,0,0,1
129.26,9.81,26.84,1,0,0
158.43,8.61,26.88,0,0,0
120.92,8.58,24.02,0,0,0
89.73,8.56,27.39,0,1,0
78.01,8.11,27.34,0,1,0
96.91,9.05,26.16,0,1,0
154.08,9.08,28.18,0,1,0
91.11,8.46,23.19,1,0,0
182.32,9.74,26.9,1,0,0
87.83,8.84,22.28,0,0,1
40.99,8.38,24.1,1,0,0
136.56,8.86,21.59,0,0,0
132.34,8.62,25.6,1,0,0
119.37,8.9,23.41,1,0,0
107.25,8.68,19.26,0,0,0
67.55,9.29,20.47,1,0,0
95.72,8.4,23.81,0,0,1
118.25,8.1,23.9,0,0,0
157.68,8.63,27.4,0,0,0
82.9,9.61,26.41,1,0,0
102.37,9.01,24.88,0,1,0
97.48,8.6,23.51,0,0,0
83.42,8.43,23.88,0,1,0
50.37,7.59,18.42,1,0,0
65.71,8.95,20.97,1,0,0
104.03,8.61,19.82,0,0,0
67.1,8.54,24.06,1,0,0
145.15,8.71,25.64,0,1,0
98.84,8.46,15.63,0,0,0
83.49,9.3,20.94,1,0,0
68.09,8.13,23.78,0,0,1
111.5,8.97,27.88,0,1,0
124.22,9.03,26.7,0,1,0
119.38,9.1,25.98,1,0,0
99.9,9.08,17.16,1,0,0
72.15,7.77,23.98,1,0,0
24.66,7.89,24.13,1,0,0
145.92,9.28,26.13,1,0,0
89.14,8.97,25.04,0,1,0
56.63,7.83,23.82,1,0,0
151.32,8.76,24.76,0,1,0
120.02,9.22,27.23,0,1,0
167.68,8.54,27.43,0,0,1
112.1,8.53,19.65,0,0,0
74.76,7.9,25.09,0,0,0
152.12,9.08,24.44,0,0,1
133.37,9.13,25.44,0,1,0
129.31,9.23,25.88,1,0,0
93.13,8.37,21.1,0,0,0
85.91,9.67,26.02,1,0,0
134.82,9.91,26.89,1,0,0
84.32,9.33,21.82,1,0,0
85.93,8.82,27.24,0,1,0
201.88,8.91,25.18,0,1,0
79.19,8.29,20.61,0,0,0
65.93,7.89,18.34,1,0,0
61.43,9.39,22.62,1,0,0
117.83,8.67,15.61,0,0,0
68.88,8.85,23.67,0,1,0
89.76,9.19,25.08,0,0,1
153.1,8.67,24.93,0,1,0
80.16,8.56,26.79,0,0,1
28.12,7.97,25.29,1,0,0
129.22,8.15,21.46,0,0,0
91.78,8.71,23.04,0,1,0
122.95,9.14,23.24,1,0,0
76.65,8.06,17.78,1,0,0
199.32,9.49,28.37,0,0,1
112.79,8.09,27.31,0,0,0
36.93,7.77,24.68,1,0,0
146.99,8.94,25.05,1,0,0
75.35,8.28,20.23,0,0,0
80.46,9.09,26.72,0,0,1
91.6,8.61,25.66,0,0,1
121.21,9.52,25.97,1,0,0
99.69,8.48,18.25,0,0,0
109.31,8.43,19.82,1,0,0
117.08,9.29,25.14,0,0,1
168.77,8.79,27.26,0,0,0
128.76,8.56,24.68,0,0,0
176.25,9.57,26.78,1,0,0
78.17,8.4,23.03,1,0,0
82.9,8.87,21.86,0,1,0
64.08,7.97,24.76,1,0,0
104.51,9.31,24.72,0,0,1
65.14,8.6,22.16,0,0,1
132.64,9.37,26.13,0,0,1
107.51,9.51,26.05,1,0,0
43.16,7.97,25.4,0,0,0
76.92,8.22,19.93,0,0,1
115.98,8.68,24.41,0,0,0
87.36,8.52,23.21,1,0,0
95.87,8.13,25.55,0,0,0
132.94,8.49,26.68,0,0,0
120.07,8.68,14.77,0,0,0
77.48,8.69,23.76,0,0,1
91.78,8.71,23.04,0,0,1
